pitch_type,game_date,release_speed,pitcher,events,description,zone,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,launch_speed_angle
CU,9/29/19,77.1,458708,field_out,hit_into_play,2,R,NYM,ATL,X,5,popup,2,1,10,null,80,69,75.831,2839,5.363,3
SL,9/29/19,77.5,572888,field_out,hit_into_play,2,R,NYM,ATL,X,7,fly_ball,0,0,8,261,97.2,53.9,74.887,2419,4.547,3
SL,9/29/19,82.1,647336,strikeout,swinging_strike,14,R,NYM,ATL,S,2,null,1,2,5,null,null,null,79.35,2804,4.984,null
SL,9/29/19,84,647336,strikeout,called_strike,7,R,NYM,ATL,S,2,null,2,2,2,null,null,null,80.796,2914,4.5,null
FT,9/29/19,95.1,647336,single,hit_into_play_no_out,7,R,NYM,ATL,X,9,line_drive,1,1,1,268,87.4,20.2,93.633,2255,5.615,4
FT,9/28/19,96.6,608331,grounded_into_double_play,hit_into_play,14,L,NYM,ATL,X,6,ground_ball,0,1,6,21,80.1,-4.4,97.837,2077,6.907,2
FT,9/28/19,92.8,592314,home_run,hit_into_play_score,6,R,NYM,ATL,X,null,fly_ball,2,1,3,415,106.1,32.6,93.243,2129,6.324,6
SL,9/28/19,81.9,592314,strikeout,swinging_strike,14,R,NYM,ATL,S,2,null,3,2,1,null,null,null,80.752,2447,5.588,null
SL,9/27/19,84.6,461872,strikeout,swinging_strike,9,R,NYM,ATL,S,2,null,1,2,6,null,null,null,84.419,2421,5.984,null
CH,9/27/19,79.7,572971,field_out,hit_into_play,14,L,NYM,ATL,X,4,popup,1,1,4,190,68.6,48.3,79.734,1624,6.265,3
FC,9/27/19,87,572971,home_run,hit_into_play_score,1,L,NYM,ATL,X,null,line_drive,0,1,1,361,96.8,24.2,86.945,2154,6.171,5
SL,9/26/19,84.5,656257,strikeout,swinging_strike,12,R,NYM,MIA,S,2,null,0,2,7,null,null,null,82.665,2902,5.279,null
FF,9/26/19,93.4,657141,strikeout,called_strike,7,R,NYM,MIA,S,2,null,3,2,6,null,null,null,92.351,2318,5.765,null
CU,9/26/19,78,657141,strikeout,swinging_strike,14,R,NYM,MIA,S,2,null,3,2,3,null,null,null,76.947,2785,6.106,null
FF,9/26/19,92.6,657141,strikeout,called_strike,4,R,NYM,MIA,S,2,null,1,2,1,null,null,null,91.826,2159,5.984,null
FF,9/25/19,89.1,605479,field_out,hit_into_play,9,L,NYM,MIA,X,9,fly_ball,0,0,6,230,92.8,58,89.294,2652,6.242,3
CH,9/25/19,85.4,612672,field_out,hit_into_play,14,L,NYM,MIA,X,1,ground_ball,1,2,4,15,70.9,-4.1,85.783,1550,6.269,2
FT,9/25/19,89.1,667498,home_run,hit_into_play_score,4,R,NYM,MIA,X,null,fly_ball,0,0,2,437,104.7,31.8,88.327,2050,5.911,6
CU,9/25/19,72.1,667498,strikeout,swinging_strike,14,R,NYM,MIA,S,2,null,0,2,1,null,null,null,69.919,2348,4.7,null
CU,9/24/19,71.5,572383,strikeout,swinging_strike,14,L,NYM,MIA,S,2,null,2,2,10,null,null,null,71.901,2271,6.894,null
SL,9/24/19,85.7,606424,strikeout,swinging_strike,1,L,NYM,MIA,S,2,null,3,2,8,null,null,null,85.185,2320,5.897,null
SI,9/24/19,96.2,645261,field_out,hit_into_play,11,R,NYM,MIA,X,5,popup,0,1,6,null,80,69,93.807,2558,5.815,3
SI,9/24/19,95.5,645261,field_out,hit_into_play,8,R,NYM,MIA,X,9,fly_ball,0,2,4,366,98.4,24.4,94.268,2650,5.845,5
SI,9/24/19,95.4,645261,field_out,hit_into_play,7,R,NYM,MIA,X,6,ground_ball,1,0,1,7,79.1,-16.2,94.015,2570,5.799,2
FS,9/23/19,89.2,592773,strikeout,swinging_strike,14,R,NYM,MIA,S,2,null,2,2,9,null,null,null,88.832,1044,5.83,null
SL,9/23/19,89.8,641755,strikeout,swinging_strike,14,R,NYM,MIA,S,2,null,2,2,7,null,null,null,87.722,2503,4.855,null
